Time,Datapoint
2017-03-08 10:54:56,7
2017-03-06 03:20:35,34
2017-03-01 06:19:20,3
2017-03-04 00:30:29,39
2017-03-02 05:03:07,7
2017-03-04 12:33:57,30
2017-03-08 18:25:20,40
2017-03-08 18:12:21,34
2017-03-08 22:08:23,35
2017-03-06 05:31:43,20
2017-03-05 12:21:17,6
2017-03-01 08:22:41,43
2017-03-05 10:55:54,27
2017-03-06 07:57:44,2
2017-03-02 14:09:50,1
2017-03-04 07:51:51,27
2017-03-02 07:15:00,12
2017-03-05 12:01:33,2
2017-03-02 18:25:54,19
2017-03-08 07:26:07,32
2017-03-02 21:50:18,18
2017-03-04 06:46:11,24
2017-03-04 20:41:28,12
2017-03-01 22:21:50,4
2017-03-03 20:08:18,12
2017-03-08 01:59:14,33
2017-03-01 11:24:31,35
2017-03-02 21:14:12,13
2017-03-04 07:30:55,11
2017-03-05 09:47:18,4
2017-03-01 08:16:43,22
2017-03-06 18:36:55,43
2017-03-02 05:45:21,26
2017-03-04 00:43:05,8
2017-03-08 00:49:18,19
2017-03-02 19:00:53,33
2017-03-07 03:31:23,3
2017-03-03 15:34:55,33
2017-03-04 00:02:52,31
2017-03-06 10:49:38,45
2017-03-05 01:12:49,36
2017-03-04 07:04:51,43
2017-03-01 19:11:09,24
2017-03-04 02:16:23,30
2017-03-03 22:53:40,22
2017-03-01 10:18:32,10
2017-03-02 06:44:24,44
2017-03-04 19:08:28,7
2017-03-06 05:43:54,36
2017-03-02 08:08:32,37
2017-03-07 15:41:25,14
2017-03-04 04:56:06,7
2017-03-08 16:03:41,30
2017-03-04 12:18:19,40
2017-03-07 12:18:53,38
2017-03-08 05:06:17,37
2017-03-04 13:51:56,42
2017-03-07 04:28:20,26
2017-03-06 01:12:50,7
2017-03-07 12:55:46,33
2017-03-06 15:22:47,10
2017-03-06 21:29:35,44
2017-03-06 23:23:40,27
2017-03-05 13:35:03,36
2017-03-06 06:52:22,17
2017-03-01 15:32:50,28
2017-03-02 22:10:55,11
2017-03-01 02:06:56,13
2017-03-08 03:39:06,21
2017-03-03 12:32:40,21
2017-03-03 11:48:57,15
2017-03-02 16:29:43,27
2017-03-04 09:33:45,16
2017-03-04 15:08:32,41
2017-03-01 16:07:32,42
2017-03-01 15:29:53,7
2017-03-06 18:40:15,7
2017-03-03 01:53:10,18
2017-03-04 23:15:01,16
2017-03-02 20:16:11,13
2017-03-03 15:10:00,21
2017-03-01 06:01:18,3
2017-03-07 02:44:02,11
2017-03-02 00:06:34,37
2017-03-01 14:13:56,12
2017-03-03 02:10:38,4
2017-03-04 12:00:54,38
2017-03-08 10:08:56,13
2017-03-01 12:04:48,1
2017-03-06 04:43:23,44
2017-03-01 02:44:23,35
2017-03-04 18:17:19,1
2017-03-07 16:45:42,43
2017-03-07 21:39:17,25
2017-03-02 20:43:28,39
2017-03-04 05:56:07,41
2017-03-02 15:49:25,29
2017-03-05 00:00:36,4
2017-03-03 12:59:21,21
2017-03-06 02:23:04,30
