Time,Datapoint
2013-08-28 0:0:1,71.4286,1
2013-08-28 0:0:2,72.2892,0
2013-08-28 0:0:2,72.2892,0
2013-08-28 0:0:3,68.1818,0
2013-08-28 0:0:4,64.5161,0
2013-08-28 0:0:5,61.2245,0
2013-08-28 0:0:6,63.8298,0
2013-08-28 0:0:7,64.5161,0
2013-08-28 0:0:8,64.5161,0
2013-08-28 0:0:9,59.4059,0
2013-08-28 0:0:10,58.8235,0
2013-08-28 0:0:11,59.4059,0
2013-08-28 0:0:12,60.6061,0
2013-08-28 0:0:13,61.8557,0
2013-08-28 0:0:14,63.1579,0
2013-08-28 0:0:15,61.2245,0
2013-08-28 0:0:16,60,0
2013-08-28 0:0:17,63.1579,0
2013-08-28 0:0:18,66.6667,0
2013-08-28 0:0:19,70.5882,0
2013-08-28 0:0:19,69.7674,0
2013-08-28 0:0:20,61.8557,0
2013-08-28 0:0:21,64.5161,0
2013-08-28 0:0:22,64.5161,0
2013-08-28 0:0:23,72.2892,0
2013-08-28 0:0:26,74.0741,1
2013-08-28 0:0:26,74.0741,0
2013-08-28 0:0:27,71.4286,0
2013-08-28 0:0:28,71.4286,0
2013-08-28 0:0:29,74.0741,0
2013-08-28 0:0:30,73.1707,0
2013-08-28 0:0:30,66.6667,0
2013-08-28 0:0:31,60,0
2013-08-28 0:0:32,64.5161,0
2013-08-28 0:0:33,68.1818,0
2013-08-28 0:0:34,69.7674,0
2013-08-28 0:0:35,70.5882,0
2013-08-28 0:0:36,68.9655,0
2013-08-28 0:0:37,67.4157,0
2013-08-28 0:0:38,65.9341,0
2013-08-28 0:0:39,65.2174,0
2013-08-28 0:0:39,68.1818,0
2013-08-28 0:0:40,61.8557,0
2013-08-28 0:0:41,60,0
2013-08-28 0:0:42,63.8298,0
2013-08-28 0:0:43,69.7674,0
2013-08-28 0:0:44,73.1707,0
2013-08-28 0:0:45,72.2892,0
2013-08-28 0:0:46,68.1818,0
2013-08-28 0:0:47,68.1818,0
2013-08-28 0:0:48,68.1818,0
2013-08-28 0:0:48,65.2174,0
2013-08-28 0:0:49,66.6667,0
2013-08-28 0:0:50,67.4157,0
2013-08-28 0:0:51,64.5161,0
2013-08-28 0:0:52,66.6667,0
2013-08-28 0:0:53,66.6667,0
2013-08-28 0:0:54,65.9341,0
2013-08-28 0:0:55,65.9341,0
2013-08-28 0:0:56,68.1818,0
2013-08-28 0:0:57,68.1818,0
2013-08-28 0:0:57,64.5161,0
2013-08-28 0:0:58,67.4157,0
2013-08-28 0:0:59,68.1818,0
2013-08-28 0:1:0,65.9341,0
2013-08-28 0:1:1,67.4157,0
2013-08-28 0:1:2,68.9655,0
2013-08-28 0:1:3,66.6667,0
2013-08-28 0:1:4,71.4286,0
2013-08-28 0:1:5,72.2892,0
2013-08-28 0:1:5,72.2892,0
2013-08-28 0:1:6,65.2174,0
2013-08-28 0:1:7,68.9655,0
2013-08-28 0:1:8,69.7674,0
2013-08-28 0:1:9,71.4286,0
2013-08-28 0:1:10,68.9655,0
2013-08-28 0:1:11,71.4286,0
2013-08-28 0:1:11,71.4286,0
2013-08-28 0:1:12,70.5882,0
2013-08-28 0:1:13,72.2892,0
2013-08-28 0:1:14,75.9494,0
2013-08-28 0:1:15,74.0741,0
2013-08-28 0:1:16,71.4286,0
2013-08-28 0:1:16,71.4286,0
2013-08-28 0:1:17,74.0741,0
2013-08-28 0:1:18,76.9231,0
2013-08-28 0:1:19,75.9494,0
2013-08-28 0:1:20,70.5882,0
2013-08-28 0:1:20,69.7674,0
2013-08-28 0:1:21,65.2174,0
2013-08-28 0:1:22,69.7674,0
2013-08-28 0:1:23,74.0741,0
2013-08-28 0:1:24,75,0
2013-08-28 0:1:25,74.0741,0
2013-08-28 0:1:25,70.5882,0
2013-08-28 0:1:26,68.1818,0
2013-08-28 0:1:27,70.5882,0
2013-08-28 0:1:28,73.1707,0
2013-08-28 0:1:29,77.9221,0
2013-08-28 0:1:30,81.0811,0
2013-08-28 0:1:32,76.9231,1
2013-08-28 0:1:33,72.2892,0
2013-08-28 0:1:33,68.1818,0
2013-08-28 0:1:34,68.9655,0
2013-08-28 0:1:35,70.5882,0
2013-08-28 0:1:36,72.2892,0
2013-08-28 0:1:37,73.1707,0
2013-08-28 0:1:38,71.4286,0
2013-08-28 0:1:39,75,0
2013-08-28 0:1:39,75.9494,0
2013-08-28 0:1:40,76.9231,0
2013-08-28 0:1:41,68.9655,0
2013-08-28 0:1:42,71.4286,0
2013-08-28 0:1:43,67.4157,0
2013-08-28 0:1:43,75,0
2013-08-28 0:1:44,75.9494,0
2013-08-28 0:1:45,68.9655,0
2013-08-28 0:1:46,65.2174,0
2013-08-28 0:1:47,68.1818,0
2013-08-28 0:1:48,70.5882,0
2013-08-28 0:1:49,72.2892,0
2013-08-28 0:1:49,70.5882,0
2013-08-28 0:1:50,65.2174,0
2013-08-28 0:1:51,63.8298,0
2013-08-28 0:1:52,67.4157,0
2013-08-28 0:1:53,70.5882,0
2013-08-28 0:1:54,73.1707,0
2013-08-28 0:1:55,72.2892,0
2013-08-28 0:1:56,70.5882,0
2013-08-28 0:1:56,70.5882,0
2013-08-28 0:1:57,75,0
2013-08-28 0:1:58,73.1707,0
2013-08-28 0:1:59,66.6667,0
2013-08-28 0:2:0,65.2174,0
2013-08-28 0:2:1,68.9655,0
2013-08-28 0:2:2,72.2892,0
2013-08-28 0:2:2,68.1818,0
2013-08-28 0:2:3,65.2174,0
2013-08-28 0:2:4,64.5161,0
2013-08-28 0:2:5,65.2174,0
2013-08-28 0:2:6,67.4157,0
2013-08-28 0:2:7,65.2174,0
2013-08-28 0:2:8,63.8298,0
2013-08-28 0:2:9,65.9341,0
2013-08-28 0:2:10,68.9655,0
2013-08-28 0:2:11,68.1818,0
2013-08-28 0:2:11,66.6667,0
2013-08-28 0:2:12,65.9341,0
2013-08-28 0:2:13,68.9655,0
2013-08-28 0:2:14,76.9231,0
2013-08-28 0:2:16,74.0741,1
2013-08-28 0:2:18,65.2174,1
2013-08-28 0:2:19,70.5882,0
2013-08-28 0:2:20,76.9231,0
2013-08-28 0:2:21,80,0
2013-08-28 0:2:21,80,0
2013-08-28 0:2:23,68.9655,1
2013-08-28 0:2:24,68.9655,0
2013-08-28 0:2:25,71.4286,0
2013-08-28 0:2:26,74.0741,0
2013-08-28 0:2:26,77.9221,0
2013-08-28 0:2:27,81.0811,0
2013-08-28 0:2:28,82.1918,0
2013-08-28 0:2:29,78.9474,0
2013-08-28 0:2:29,75,0
2013-08-28 0:2:30,75.9494,0
2013-08-28 0:2:31,75.9494,0
2013-08-28 0:2:32,75.9494,0
2013-08-28 0:2:33,77.9221,0
2013-08-28 0:2:33,80,0
2013-08-28 0:2:34,82.1918,0
2013-08-28 0:2:35,84.507,0
2013-08-28 0:2:36,86.9565,0
2013-08-28 0:2:37,89.5522,1
2013-08-28 0:2:38,86.9565,0
2013-08-28 0:2:38,84.507,0
2013-08-28 0:2:39,83.3333,0
2013-08-28 0:2:40,85.7143,0
2013-08-28 0:2:40,85.7143,0
2013-08-28 0:2:41,81.0811,0
2013-08-28 0:2:42,71.4286,0
