Time,Datapoint
2013-08-28 0:0:4.0199999999999996,81.0811
2013-08-28 0:0:4.7599999999999998,81.0811
2013-08-28 0:0:5.5,80
2013-08-28 0:0:6.25,81.0811
2013-08-28 0:0:6.9900000000000002,81.0811
2013-08-28 0:0:7.7300000000000004,80
2013-08-28 0:0:8.4800000000000004,78.9474
2013-08-28 0:0:9.2400000000000002,80
2013-08-28 0:0:9.9900000000000002,80
2013-08-28 0:0:10.74,77.9221
2013-08-28 0:0:11.51,77.9221
2013-08-28 0:0:12.279999999999999,77.9221
2013-08-28 0:0:13.050000000000001,78.9474
2013-08-28 0:0:13.81,77.9221
2013-08-28 0:0:14.58,77.9221
2013-08-28 0:0:15.35,81.0811
2013-08-28 0:0:16.09,80
2013-08-28 0:0:16.84,80
2013-08-28 0:0:17.59,81.0811
2013-08-28 0:0:18.329999999999998,81.0811
2013-08-28 0:0:19.07,82.1918
2013-08-28 0:0:19.800000000000001,81.0811
2013-08-28 0:0:20.539999999999999,82.1918
2013-08-28 0:0:21.27,82.1918
2013-08-28 0:0:22.0,82.1918
2013-08-28 0:0:22.73,82.1918
2013-08-28 0:0:23.460000000000001,81.0811
2013-08-28 0:0:25.690000000000001,77.9221
2013-08-28 0:0:26.460000000000001,78.9474
2013-08-28 0:0:27.219999999999999,77.9221
2013-08-28 0:0:27.989999999999998,78.9474
2013-08-28 0:0:28.75,78.9474
2013-08-28 0:0:29.510000000000002,80
2013-08-28 0:0:30.260000000000002,80
2013-08-28 0:0:31.010000000000002,80
2013-08-28 0:0:31.760000000000002,81.0811
2013-08-28 0:0:32.5,81.0811
2013-08-28 0:0:33.240000000000002,80
2013-08-28 0:0:33.990000000000002,80
2013-08-28 0:0:34.740000000000002,81.0811
2013-08-28 0:0:35.479999999999997,80
2013-08-28 0:0:36.229999999999997,77.9221
2013-08-28 0:0:37.0,77.9221
2013-08-28 0:0:37.770000000000003,78.9474
2013-08-28 0:0:38.530000000000001,77.9221
2013-08-28 0:0:39.299999999999997,76.9231
2013-08-28 0:0:40.079999999999998,76.9231
2013-08-28 0:0:40.859999999999999,77.9221
2013-08-28 0:0:41.630000000000003,76.9231
2013-08-28 0:0:42.409999999999997,77.9221
2013-08-28 0:0:43.18,78.9474
2013-08-28 0:0:43.939999999999998,80
2013-08-28 0:0:44.689999999999998,78.9474
2013-08-28 0:0:45.450000000000003,77.9221
2013-08-28 0:0:46.219999999999999,80
2013-08-28 0:0:46.969999999999999,80
2013-08-28 0:0:47.719999999999999,78.9474
2013-08-28 0:0:48.479999999999997,80
2013-08-28 0:0:49.229999999999997,80
2013-08-28 0:0:49.979999999999997,80
2013-08-28 0:0:50.729999999999997,78.9474
2013-08-28 0:0:51.490000000000002,80
2013-08-28 0:0:52.240000000000002,81.0811
2013-08-28 0:0:52.979999999999997,81.0811
2013-08-28 0:0:53.719999999999999,80
2013-08-28 0:0:54.469999999999999,81.0811
2013-08-28 0:0:55.210000000000001,81.0811
2013-08-28 0:0:55.950000000000003,81.0811
2013-08-28 0:0:56.689999999999998,90.9091
2013-08-28 0:0:58.170000000000002,82.1918
2013-08-28 0:0:58.899999999999999,80
2013-08-28 0:0:59.649999999999999,80
2013-08-28 0:1:0.39999999999999858,81.0811
2013-08-28 0:1:1.1400000000000006,81.0811
2013-08-28 0:1:1.8800000000000026,80
2013-08-28 0:1:2.6300000000000026,80
2013-08-28 0:1:3.3800000000000026,80
2013-08-28 0:1:4.1299999999999955,80
2013-08-28 0:1:4.8799999999999955,81.0811
2013-08-28 0:1:5.6200000000000045,81.0811
2013-08-28 0:1:6.3599999999999994,80
2013-08-28 0:1:7.1099999999999994,82.1918
2013-08-28 0:1:7.8400000000000034,81.0811
2013-08-28 0:1:8.5799999999999983,81.0811
2013-08-28 0:1:9.3199999999999932,81.0811
2013-08-28 0:1:10.060000000000002,82.1918
2013-08-28 0:1:10.790000000000006,81.0811
2013-08-28 0:1:11.530000000000001,80
2013-08-28 0:1:12.280000000000001,81.0811
2013-08-28 0:1:13.019999999999996,82.1918
