Time,Datapoint
2013-08-28 0:0:3.0600000000000001,78.9474
2013-08-28 0:0:3.8199999999999998,77.9221
2013-08-28 0:0:4.5899999999999999,77.9221
2013-08-28 0:0:5.3600000000000003,76.9231
2013-08-28 0:0:6.1399999999999997,78.9474
2013-08-28 0:0:6.9000000000000004,78.9474
2013-08-28 0:0:7.6600000000000001,78.9474
2013-08-28 0:0:8.4199999999999999,78.9474
2013-08-28 0:0:9.1799999999999997,80
2013-08-28 0:0:9.9299999999999997,78.9474
2013-08-28 0:0:10.69,78.9474
2013-08-28 0:0:11.449999999999999,80
2013-08-28 0:0:12.199999999999999,78.9474
2013-08-28 0:0:12.960000000000001,78.9474
2013-08-28 0:0:13.720000000000001,78.9474
2013-08-28 0:0:14.48,78.9474
2013-08-28 0:0:15.24,78.9474
2013-08-28 0:0:16.0,78.9474
2013-08-28 0:0:16.760000000000002,78.9474
2013-08-28 0:0:17.52,77.9221
2013-08-28 0:0:18.289999999999999,78.9474
2013-08-28 0:0:19.050000000000001,77.9221
2013-08-28 0:0:19.82,78.9474
2013-08-28 0:0:20.579999999999998,77.9221
2013-08-28 0:0:21.350000000000001,77.9221
2013-08-28 0:0:22.120000000000001,78.9474
2013-08-28 0:0:22.879999999999999,78.9474
2013-08-28 0:0:23.640000000000001,77.9221
2013-08-28 0:0:24.41,77.9221
2013-08-28 0:0:25.18,78.9474
2013-08-28 0:0:25.940000000000001,77.9221
2013-08-28 0:0:26.710000000000001,77.9221
2013-08-28 0:0:27.48,77.9221
2013-08-28 0:0:28.25,77.9221
2013-08-28 0:0:29.02,77.9221
2013-08-28 0:0:29.789999999999999,77.9221
2013-08-28 0:0:30.559999999999999,77.9221
2013-08-28 0:0:31.329999999999998,76.9231
2013-08-28 0:0:32.109999999999999,77.9221
2013-08-28 0:0:32.880000000000003,77.9221
2013-08-28 0:0:33.649999999999999,77.9221
2013-08-28 0:0:34.420000000000002,76.9231
2013-08-28 0:0:35.200000000000003,77.9221
2013-08-28 0:0:35.969999999999999,78.9474
2013-08-28 0:0:36.729999999999997,77.9221
2013-08-28 0:0:37.5,77.9221
2013-08-28 0:0:38.270000000000003,78.9474
2013-08-28 0:0:39.030000000000001,77.9221
2013-08-28 0:0:39.799999999999997,77.9221
2013-08-28 0:0:40.57,77.9221
2013-08-28 0:0:41.340000000000003,77.9221
2013-08-28 0:0:42.109999999999999,77.9221
2013-08-28 0:0:42.880000000000003,78.9474
2013-08-28 0:0:43.640000000000001,77.9221
2013-08-28 0:0:44.409999999999997,78.9474
2013-08-28 0:0:45.170000000000002,77.9221
2013-08-28 0:0:45.939999999999998,78.9474
2013-08-28 0:0:46.700000000000003,77.9221
2013-08-28 0:0:47.469999999999999,76.9231
