Time,Datapoint
2017-04-04 21:07:58,5
2017-04-05 10:08:59,1
2017-04-01 08:46:00,19
2017-04-05 20:20:25,22
2017-04-01 00:42:01,23
2017-04-01 11:35:18,22
2017-04-05 09:23:53,16
2017-04-03 16:57:11,28
2017-04-04 05:02:09,19
2017-04-03 21:17:44,24
2017-04-02 11:51:01,34
2017-04-01 21:18:27,2
2017-04-03 01:19:02,11
2017-04-01 01:52:58,3
2017-04-02 06:15:52,3
2017-04-05 22:55:50,31
2017-04-02 20:14:34,18
2017-04-05 02:49:41,11
2017-04-01 14:22:42,4
2017-04-04 06:18:38,24
2017-04-01 12:41:47,15
2017-04-02 01:52:49,10
2017-04-05 09:47:15,29
2017-04-01 06:18:57,25
2017-04-04 13:31:33,30
2017-04-05 23:26:10,7
2017-04-02 02:43:12,5
2017-04-01 07:18:46,34
2017-04-03 09:05:17,3
2017-04-01 07:11:08,2
2017-04-03 22:31:06,21
2017-04-05 00:23:46,6
2017-04-05 00:48:31,13
2017-04-03 15:11:34,14
2017-04-04 11:19:32,11
2017-04-02 20:11:56,15
2017-04-04 07:20:22,4
2017-04-02 09:15:57,2
2017-04-03 11:55:23,32
2017-04-01 12:44:26,23
2017-04-02 00:25:14,23
2017-04-04 17:31:02,24
2017-04-03 08:57:27,17
2017-04-05 23:38:40,21
2017-04-03 18:11:01,32
2017-04-01 01:21:26,29
2017-04-03 08:10:27,26
2017-04-02 13:07:51,10
2017-04-03 06:28:11,6
2017-04-03 06:46:24,29
2017-04-04 12:01:06,1
2017-04-02 01:05:36,7
2017-04-03 00:31:27,33
2017-04-05 23:27:46,4
2017-04-03 19:09:58,13
2017-04-02 17:56:59,9
2017-04-02 00:58:21,7
2017-04-03 07:47:56,5
2017-04-01 13:54:09,7
2017-04-04 19:34:18,25
2017-04-02 20:07:50,16
2017-04-02 05:41:23,25
2017-04-05 16:27:42,19
2017-04-01 18:54:40,22
2017-04-03 07:57:47,1
2017-04-04 11:28:53,29
2017-04-02 06:16:21,5
2017-04-05 15:21:23,2
2017-04-04 01:14:05,16
2017-04-01 22:11:39,32
2017-04-04 14:02:11,17
2017-04-01 03:54:19,8
2017-04-03 23:51:42,8
2017-04-05 12:21:13,21
2017-04-03 10:35:34,1
2017-04-02 20:14:23,22
2017-04-01 00:16:12,24
2017-04-05 09:29:59,25
2017-04-01 05:12:26,30
2017-04-02 08:30:45,22
2017-04-01 19:10:46,15
2017-04-05 21:31:46,3
2017-04-01 10:19:43,22
2017-04-03 03:43:48,7
2017-04-04 08:33:48,1
2017-04-04 00:26:44,15
2017-04-05 01:49:16,14
2017-04-03 14:31:21,20
2017-04-02 05:46:58,32
2017-04-03 05:59:56,31
2017-04-05 08:36:43,2
2017-04-03 12:22:16,26
2017-04-04 04:36:54,2
2017-04-01 16:48:59,18
2017-04-03 16:09:52,29
2017-04-05 20:29:52,11
2017-04-05 18:02:48,34
2017-04-03 10:46:30,14
2017-04-02 15:29:59,5
2017-04-03 22:53:14,4
